message,label,length,autotag
switchfoot bummer shoulda got david carr third day,1,115,1
upset updat facebook text,1,111,1
kenichan dive mani time ball manag save rest go bound,1,89,1
whole bodi feel itchi like fire,0,47,0
nationwideclass behav mad see,1,111,1
kwesidei whole crew,1,29,1
need hug,1,11,1
loltrish hey long time see ye rain bit bit lol fine thank,1,99,0
tatiana nope,1,36,1
twittera que muera,1,25,1
spring break plain snow,1,43,1
pierc ear,1,26,1
caregiv bear watch thought ua loss embarrass,1,94,1
octolinz count idk either never talk anymor,1,77,1
smarrison would first gun realli though zac snyder doucheclown,1,117,1
iamjazzyfizzl wish got watch miss iamlilnicki premier,1,103,1
holli death scene hurt sever watch film wri director cut,0,93,0
file tax,1,20,1
lettya ahh ive alway want see rent love soundtrack,1,64,0
fakerpattypattz oh dear drink forgotten tabl drink,1,79,1
alydesign day get much done,1,62,1
one friend call ask meet mid valley time sigh,1,101,1
angri barista bake cake ate,1,48,1
week go hope,1,38,1
blagh class tomorrow,1,26,1
hate call wake peopl,0,46,0
go cri sleep watch marley,1,65,1
im sad miss lilli,1,22,1
lesli get mad,1,89,1
,1,81,1
hack account aim make new one,0,60,0
alielayu want go promot gear groov unforn ride may go one anaheim may though,1,131,1
thought sleep option tomorrow realiz evalu morn work afternoon,1,131,1
julieebabi awe love miss,1,56,1
humpninja cri asian eye sleep night,1,49,1
ok sick spent hour sit shower caus sick stand held back puke like champ bed,0,127,0
cocomix ill tell ya stori later good day ill workin like three,1,101,1
missxu sorri bed time came gmt,1,61,0
fleuryli either depress think even want know kid suitcas,1,106,1
bed class work gym class anoth day gon na fli miss girlfriend,1,113,0
realli feel like get,1,95,1
reason teardrop guitar one enough break heart,1,99,1
sad sad sad know hate feel wan na sleep still,0,89,0
jonathanrknight awww soo wish see final comfort im sad miss,1,101,0
fall asleep heard traci girl bodi found sad heart break famili,1,110,1
viennah yay happi job also mean less time,1,95,1
check user timelin blackberri look like twank still happen ppl still prob bg uid,1,138,1
oh jeancjumb fave top wear meet burnt,0,75,0
strang sad lilo samro break,1,51,1
tea oh sorri think retweet,1,67,1
broadband plan massiv broken promis tautao still wait broadband,0,129,0
localtweep wow ton repli may unfollow see friend tweet scroll feed lot,1,131,1
duck chicken take wayyy long hatch,1,56,0
put vacat photo onlin yr ago pc crash forget name site,0,93,0
need hug,1,13,1
andywana sure po much want dont think trade away compani asset sorri andi,1,135,1
put vacat photo onlin yr ago pc crash forget name site,0,93,0
sad feel dalla go show got ta say though think show would use music game mmm,1,135,1
u,1,27,1
move thought alreadi sd hmmm random found glad hear yer well,1,110,1
batmanyng miss ps commiss wutcha play cop blood sand,1,102,0
leav park lot work,1,38,0
life cool,1,34,1
sadli though never gotten experi post coitu cigarett never,1,102,1
nice day bad rain come tomorrow,1,65,1
starrbbi bad around lost job even pay phone bill lmao aw shuck,1,98,1
damm back school tomorrow,1,29,1
mo job money hell min wage n clam hour,0,73,0
katortiz,1,39,1
lt algonquin agre saw failwhal allllll day today,0,61,0
jdarter oh terribl need pop,1,136,0
ninjen sure,1,110,1
realli hate peopl diss band trace clearli ugli,0,67,0
gym attir today puma singlet adida,1,138,1
show locat,1,59,1
picnic phone smell like citru,1,39,0
ashleyac donkey sensit comment nevertheless glad see mug asap charger still awol,1,137,1
new csi tonight fml,1,24,1
think arm sore tenni,1,37,1
wonder someon like much make unhappi split seccond depress,1,97,1
sleep,0,73,1
statravelau got ur newslett fare realli unbeliev shame alreadi book paid mine,1,115,1
missin boo,1,16,1
markhardi itm,1,27,1
chalk chalkboard useless,1,57,1
blast getti villa hate sore throat day get wors,0,108,0
msdrama hey miss ya meet sup mama,1,47,1
tummi hurt wonder hypnosi anyth work get stop smoke,1,116,1
alway fat one,1,32,1
januarycrimson sorri babe fam annoy thank asleep right muahaha evil laugh,1,112,1
hollywoodheat paid attent cover photoshop webpag design class undergrad,1,115,1
wednesday day know,1,43,1
poor cameron hill,1,25,1
pray pleas ex threaten start sh babi st birthday parti jerk still headach,0,134,0
makeherfam hmm realli enjoy problem constant think thing find someon ulik,0,138,0
strider sick littl puppi,0,85,0
ryle parti sadli sinc easter wnt abl much ohh well,1,112,1
hey actual one bracket pool bad one money,1,81,1
stark follow either work,1,55,1
bad nite favorit team astro spartan lose nite w good,1,94,0
bad nite favorit team astro spartan lose nite w good,0,94,0
mangaaa hope increas capac fast yesterday pain got fail whale time,0,125,0
behind class work,1,30,1
watch quot hous quot,1,27,1
kprey rememb bum leg strike back time seriou,1,65,0
bad nite favorit team astro spartan lose nite w good,0,94,0
mangaaa hope increas capac fast yesterday pain got fail whale time,0,125,0
would rather first parti send bad messag rd parti send mix one sophmor year,1,112,1
henkuyinepu overr,1,28,1
marykatherin know heard afternoon wonder thing moscow behind time,1,110,1
lay bed voic,1,30,0
sooo sad kill kutner hous whyyyyyyyy,1,59,1
jacobsumm sorri tell mea culpa realli sorri,1,76,1
alliana make sens suicid thing refus believ actual happen,0,119,0
salancast hope ok,1,27,1
mercedesashley damn grind inspir sadden time want stop cuz like much love,1,136,0
hibanick yeah aw know wudnt stand chanc,1,52,1
ugh cant sleep,1,29,1
hang crooner wan na sing suck,1,47,1
err sc aaw miss ya im leav bh tomorrow quot morn quot think aww wan na go beach u girl,1,129,0
piss asba radio station,1,58,1
wednesday day know,1,44,1
know life flip upsid thought head ramen sound good,1,104,1
pain back side hurt mention cri made fail,0,77,0
late night snack glass oj c quot sick quot back,0,122,0
allyheman big fan camilla bell,1,64,1
grum wah see clip must el stupido work filter wait till get puter someth els blame ex broke mine,1,137,1
week seem get longer longer term much need much actual go get done,1,126,1
cold,1,12,1
thecoolestout ehhh weather gon na take turn ugli tomorrow,1,77,1
chelserlynn haha cooooold still go show incred stuff,1,118,1
hope tummi rumbl go away soon,1,38,1
knight notic told work tomorrow call agenc follow said,1,132,0
almost bedtim,1,15,1
